% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
5.6E-7,115,0.56,0.8178503337665097
5.6E-7,120,0.56,0.8075884636678767
5.620000000000001E-7,94.99999999999999,0.562,0.8595598158748594
5.620000000000001E-7,100,0.562,0.8513862060160418
5.620000000000001E-7,104.99999999999999,0.562,0.8423325553946392
5.620000000000001E-7,109.99999999999999,0.562,0.8323867524048846
5.620000000000001E-7,115,0.562,0.8220114802104034
5.620000000000001E-7,120,0.562,0.8120062108908002
5.64E-7,94.99999999999999,0.5640000000000001,0.860651468285056
5.64E-7,100,0.5640000000000001,0.8536201580086021
5.64E-7,104.99999999999999,0.5640000000000001,0.8453642537823913
5.64E-7,109.99999999999999,0.5640000000000001,0.8360263793933763
5.64E-7,115,0.5640000000000001,0.826117411729252
5.64E-7,120,0.5640000000000001,0.8164256239302079
5.660000000000001E-7,94.99999999999999,0.5660000000000001,0.8610387086632784
5.660000000000001E-7,100,0.5660000000000001,0.8554138551295537
5.660000000000001E-7,104.99999999999999,0.5660000000000001,0.8481106442497708
5.660000000000001E-7,109.99999999999999,0.5660000000000001,0.8394840539704194
5.660000000000001E-7,115,0.5660000000000001,0.8301174448192972
5.660000000000001E-7,120,0.5660000000000001,0.8207996356341817
5.68E-7,94.99999999999999,0.568,0.8605328846908163
5.68E-7,100,0.568,0.8566569987143403
5.68E-7,104.99999999999999,0.568,0.8504950844399481
5.68E-7,109.99999999999999,0.568,0.8426992065018086
5.68E-7,115,0.568,0.8339591015174532
5.68E-7,120,0.568,0.8250802989298512
5.7E-7,94.99999999999999,0.5700000000000001,0.8588899530419535
5.7E-7,100,0.5700000000000001,0.8572177168464297
5.7E-7,104.99999999999999,0.5700000000000001,0.8524313791472041
5.7E-7,109.99999999999999,0.5700000000000001,0.8456067033430736
5.7E-7,115,0.5700000000000001,0.8375876511644074
5.7E-7,120,0.5700000000000001,0.8292185718379658
5.72E-7,94.99999999999999,0.572,0.8557847798140766
5.72E-7,100,0.572,0.8569344826823053
5.72E-7,104.99999999999999,0.572,0.8538207149502963
5.72E-7,109.99999999999999,0.572,0.8481355332020649
5.72E-7,115,0.572,0.840945504249436
5.72E-7,120,0.572,0.8331640300345157
5.74E-7,94.99999999999999,0.5740000000000001,0.8507707492427945
5.74E-7,100,0.5740000000000001,0.8556043966413225
5.74E-7,104.99999999999999,0.5740000000000001,0.8545474375506957
5.74E-7,109.99999999999999,0.5740000000000001,0.8502070517395841
5.74E-7,115,0.5740000000000001,0.8439714136806459
5.74E-7,120,0.5740000000000001,0.8368644878867765
5.760000000000001E-7,94.99999999999999,0.5760000000000001,0.843214510270008
5.760000000000001E-7,100,0.5760000000000001,0.8529659008568091
5.760000000000001E-7,104.99999999999999,0.5760000000000001,0.8544731742216058
5.760000000000001E-7,109.99999999999999,0.5760000000000001,0.8517326239127034
5.760000000000001E-7,115,0.5760000000000001,0.8465994218443675
5.760000000000001E-7,120,0.5760000000000001,0.8402655010185466
5.78E-7,94.99999999999999,0.5780000000000001,0.832187328882451
5.78E-7,100,0.5780000000000001,0.8486727844160062
5.78E-7,104.99999999999999,0.5780000000000001,0.853428553802022
5.78E-7,109.99999999999999,0.5780000000000001,0.8526104361519763
5.78E-7,115,0.5780000000000001,0.8487574691443129
5.78E-7,120,0.5780000000000001,0.8433097141058972
5.800000000000001E-7,94.99999999999999,0.5800000000000001,0.8162782778267369
5.800000000000001E-7,100,0.5800000000000001,0.8422542543321564
5.800000000000001E-7,104.99999999999999,0.5800000000000001,0.8512013827078679
5.800000000000001E-7,109.99999999999999,0.5800000000000001,0.8527211512787098
5.800000000000001E-7,115,0.5800000000000001,0.8503655484451969
